donation_id,donor_id,donation_date,amount,campaign_id,payment_method,gift_type,gift_aid_claimed
10271,1041,2023-06-02,63.52,118.0,PayPal,One-off,No
10272,1041,2022-08-05,58.42,115.0,SEPA-Lastschrift,One-off,No
10273,1041,2025-12-10,46.28,,Kreditkarte,One-off,No
10274,1041,2026-11-15,27.51,140.0,SEPA-Lastschrift,One-off,No
10275,1041,2022-08-05,61.98,114.0,PayPal,One-off,Yes
10276,1041,2025-10-03,32.89,135.0,SEPA-Lastschrift,One-off,No
10277,1041,2023-07-04,41.89,118.0,SEPA-Lastschrift,One-off,No
10278,1041,2024-06-17,5.91,130.0,Überweisung,One-off,Yes
10279,1041,2024-06-13,44.87,126.0,PayPal,One-off,Yes
10280,1041,2025-04-22,38.02,134.0,Kreditkarte,One-off,Yes
10281,1041,2026-08-06,40.57,146.0,Überweisung,One-off,No
10282,1041,2026-03-28,54.43,145.0,Kreditkarte,One-off,Yes
10283,1041,2022-11-12,5.0,108.0,Kreditkarte,One-off,No
10284,1041,2026-04-12,88.06,145.0,Überweisung,One-off,No
10285,1041,2022-12-14,60.42,108.0,SEPA-Lastschrift,One-off,Yes
10286,1041,2023-09-28,69.56,119.0,SEPA-Lastschrift,One-off,No
10287,1041,2023-11-15,43.75,116.0,Überweisung,One-off,Yes
10288,1041,2023-08-24,83.24,122.0,SEPA-Lastschrift,One-off,No
10289,1041,2022-09-26,81.0,109.0,SEPA-Lastschrift,One-off,No
10290,1041,2026-10-04,46.39,141.0,Überweisung,One-off,No
10291,1041,2026-05-13,82.38,147.0,Überweisung,One-off,No
10292,1041,2023-06-12,40.18,123.0,Überweisung,One-off,Yes
10293,1041,2023-09-29,49.36,117.0,Kreditkarte,One-off,Yes
10294,1041,2023-10-14,50.82,117.0,SEPA-Lastschrift,One-off,No
10295,1041,2026-10-16,45.52,141.0,SEPA-Lastschrift,One-off,No
10296,1041,2023-07-02,24.89,118.0,Überweisung,One-off,No
10297,1041,2022-10-12,26.17,109.0,SEPA-Lastschrift,One-off,No
10298,1041,2023-11-15,47.97,116.0,SEPA-Lastschrift,One-off,No
10299,1041,2023-04-09,70.93,121.0,SEPA-Lastschrift,One-off,Yes
10300,1041,2022-10-13,51.28,111.0,Überweisung,One-off,No
10301,1041,2026-03-19,41.51,145.0,Überweisung,One-off,No
10302,1041,2026-10-11,65.78,141.0,PayPal,One-off,No
10303,1041,2024-05-07,61.65,125.0,SEPA-Lastschrift,One-off,No
10304,1041,2022-08-04,57.14,115.0,SEPA-Lastschrift,One-off,No
10305,1041,2024-03-30,40.89,129.0,SEPA-Lastschrift,One-off,No
10306,1041,2026-10-16,53.14,141.0,Kreditkarte,One-off,Yes
10307,1041,2026-10-18,13.11,141.0,SEPA-Lastschrift,One-off,No
10308,1041,2025-06-18,71.72,138.0,SEPA-Lastschrift,One-off,No
10309,1041,2024-01-26,62.09,128.0,Kreditkarte,One-off,No
10310,1041,2023-10-18,43.97,119.0,Überweisung,One-off,No
10311,1041,2022-11-17,54.36,108.0,Kreditkarte,One-off,No
10312,1041,2026-04-29,48.11,142.0,Kreditkarte,One-off,No
10313,1041,2022-09-21,53.96,111.0,Überweisung,One-off,No
10314,1041,2025-11-19,88.31,132.0,SEPA-Lastschrift,One-off,Yes
10315,1041,2025-05-18,72.24,139.0,PayPal,One-off,Yes
10316,1041,2023-11-27,67.01,116.0,Überweisung,One-off,Yes
10317,1041,2025-04-03,67.12,133.0,SEPA-Lastschrift,One-off,No
10318,1041,2026-03-22,73.78,145.0,Kreditkarte,One-off,Yes
10319,1041,2022-10-07,74.33,109.0,SEPA-Lastschrift,One-off,Yes
10320,1043,2024-01-11,50.79,,Kreditkarte,One-off,No
10321,1043,2026-03-22,48.19,145.0,Überweisung,One-off,No
10322,1043,2025-10-12,73.79,135.0,SEPA-Lastschrift,One-off,Yes
10323,1043,2025-01-01,18.35,124.0,SEPA-Lastschrift,One-off,Yes
10324,1043,2025-11-22,54.01,132.0,SEPA-Lastschrift,One-off,Yes
10325,1043,2026-08-02,47.09,146.0,Kreditkarte,One-off,Yes
10326,1043,2025-03-21,44.01,133.0,Überweisung,One-off,No
10327,1043,2024-04-12,13.53,129.0,Kreditkarte,One-off,Yes
10328,1044,2022-01-15,20.71,,Überweisung,One-off,Yes
10329,1044,2026-07-16,24.05,146.0,PayPal,One-off,No
10330,1044,2025-09-21,27.5,135.0,SEPA-Lastschrift,One-off,Yes
10331,1044,2025-11-01,29.15,,Überweisung,One-off,Yes
10332,1045,2023-12-06,18.73,,SEPA-Lastschrift,One-off,Yes
10333,1046,2023-07-14,65.46,,SEPA-Lastschrift,One-off,Yes
10334,1046,2025-04-09,31.33,137.0,Überweisung,One-off,No
10335,1046,2026-02-21,64.42,144.0,SEPA-Lastschrift,One-off,Yes
10336,1046,2026-03-16,12.44,145.0,Überweisung,One-off,No
10337,1046,2026-03-20,23.93,145.0,Überweisung,One-off,Yes
10338,1046,2024-11-13,30.19,124.0,SEPA-Lastschrift,One-off,Yes
10339,1046,2024-03-22,25.37,129.0,Überweisung,One-off,No
10340,1046,2025-01-16,53.91,136.0,Überweisung,One-off,Yes
10341,1046,2025-07-15,22.22,138.0,SEPA-Lastschrift,One-off,Yes
10342,1046,2024-01-31,31.44,128.0,SEPA-Lastschrift,One-off,No
10343,1046,2026-12-23,50.97,140.0,SEPA-Lastschrift,One-off,Yes
10344,1046,2023-09-06,45.0,117.0,SEPA-Lastschrift,One-off,No
10345,1046,2025-01-16,23.57,,SEPA-Lastschrift,One-off,No
10346,1046,2023-12-14,34.92,116.0,SEPA-Lastschrift,One-off,No
10347,1046,2025-05-16,55.7,139.0,Kreditkarte,One-off,No
10348,1046,2025-05-16,58.4,134.0,PayPal,One-off,Yes
10349,1046,2026-09-18,47.31,143.0,SEPA-Lastschrift,One-off,Yes
10350,1046,2024-03-12,32.8,128.0,Überweisung,One-off,Yes
10351,1046,2023-09-10,29.27,117.0,SEPA-Lastschrift,One-off,No
10352,1046,2026-05-13,40.01,147.0,SEPA-Lastschrift,One-off,No
10353,1046,2026-09-26,32.31,141.0,Überweisung,One-off,No
10354,1046,2024-05-18,55.21,125.0,PayPal,One-off,Yes
10355,1046,2024-11-19,15.62,,PayPal,One-off,Yes
10356,1046,2024-01-24,30.07,128.0,SEPA-Lastschrift,One-off,No
10357,1046,2025-03-18,39.84,136.0,PayPal,One-off,Yes
10358,1046,2025-01-17,37.61,136.0,SEPA-Lastschrift,One-off,Yes
10359,1046,2025-04-08,24.27,133.0,Überweisung,One-off,No
10360,1046,2025-04-13,50.97,137.0,Überweisung,One-off,Yes
10361,1046,2024-07-15,37.2,126.0,SEPA-Lastschrift,One-off,No
10362,1046,2026-06-08,35.17,142.0,SEPA-Lastschrift,One-off,No
10363,1046,2025-11-27,48.57,132.0,Überweisung,One-off,Yes
10364,1047,2023-11-30,26.57,,SEPA-Lastschrift,One-off,No
10365,1049,2024-10-21,36.42,,PayPal,One-off,Yes
10366,1051,2024-09-07,22.69,,PayPal,One-off,No
10367,1052,2025-09-05,162.64,,Überweisung,One-off,No
10368,1053,2025-10-19,5.0,,Kreditkarte,One-off,Yes
10369,1053,2026-11-21,5.0,140.0,SEPA-Lastschrift,One-off,Yes
10370,1053,2026-11-18,7.78,140.0,SEPA-Lastschrift,One-off,Yes
10371,1053,2026-10-20,5.94,143.0,SEPA-Lastschrift,One-off,Yes
10372,1053,2026-12-29,5.82,140.0,SEPA-Lastschrift,One-off,Yes
10373,1053,2026-05-13,6.02,147.0,PayPal,One-off,No
10374,1053,2026-10-11,6.55,141.0,SEPA-Lastschrift,One-off,No
10375,1053,2026-10-21,6.42,141.0,Überweisung,One-off,Yes
10376,1053,2026-10-22,5.0,141.0,SEPA-Lastschrift,One-off,No
10377,1054,2025-11-02,90.14,,SEPA-Lastschrift,One-off,Yes
10378,1054,2026-10-23,255.68,,Überweisung,One-off,No
